Data Source in SDW: null
,SEC.M.AT.1000.F33200.N.1.Z01.E.Z,SEC.M.BE.1000.F33200.N.1.Z01.E.Z,SEC.M.BG.1000.F33200.N.1.Z01.E.Z,SEC.M.CY.1000.F33200.N.1.Z01.E.Z,SEC.M.CZ.1000.F33200.N.1.Z01.E.Z,SEC.M.DE.1000.F33200.N.1.Z01.E.Z,SEC.M.DK.1000.F33200.N.1.Z01.E.Z,SEC.M.EE.1000.F33200.N.1.Z01.E.Z,SEC.M.ES.1000.F33200.N.1.Z01.E.Z,SEC.M.FI.1000.F33200.N.1.Z01.E.Z,SEC.M.FR.1000.F33200.N.1.Z01.E.Z,SEC.M.GB.1000.F33200.N.1.Z01.E.Z,SEC.M.GR.1000.F33200.N.1.Z01.E.Z,SEC.M.HR.1000.F33200.N.1.Z01.E.Z,SEC.M.HU.1000.F33200.N.1.Z01.E.Z,SEC.M.I8.1000.F33200.N.1.Z01.E.Z,SEC.M.IE.1000.F33200.N.1.Z01.E.Z,SEC.M.IT.1000.F33200.N.1.Z01.E.Z,SEC.M.LT.1000.F33200.N.1.Z01.E.Z,SEC.M.LU.1000.F33200.N.1.Z01.E.Z,SEC.M.LV.1000.F33200.N.1.Z01.E.Z,SEC.M.MT.1000.F33200.N.1.Z01.E.Z,SEC.M.NL.1000.F33200.N.1.Z01.E.Z,SEC.M.PL.1000.F33200.N.1.Z01.E.Z,SEC.M.PT.1000.F33200.N.1.Z01.E.Z,SEC.M.RO.1000.F33200.N.1.Z01.E.Z,SEC.M.SE.1000.F33200.N.1.Z01.E.Z,SEC.M.SI.1000.F33200.N.1.Z01.E.Z,SEC.M.SK.1000.F33200.N.1.Z01.E.Z,SEC.M.U2.1000.F33200.N.1.Z01.E.Z
," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Austria"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Belgium"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Bulgaria"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Cyprus"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Czech Republic"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Germany"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Denmark"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Estonia"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Spain"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Finland"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,France"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,United Kingdom"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Greece"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Croatia"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Hungary"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Euro area 19 (fixed composition) as of 1 January 2015"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Ireland"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Italy"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Lithuania"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Luxembourg"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Latvia"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Malta"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Netherlands"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Poland"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Portugal"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Romania"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Sweden"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Slovenia"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Slovakia"," Outstanding amounts at the end of the period (stocks), Long-term securities other than shares, Nominal value, Total economy issuing sector, All currencies combined, denominated in Euro,Euro area (changing composition)"
Collection:,End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E),End of period (E)
Period\Unit:,[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro],[Millions of Euro]
2019Oct,434916.000,576880.306,,22564.000,,2966165.000,,2287.000,1639628.000,265886.000,3721098.000,,74973.000,,,16202037.104,684217.454,2709427.620,16689.701,845892.210,10625.000,10011.854,1813040.812,,237736.340,,,29031.809,52932.748,16202037.104
2019Sep,443355.000,577882.211,,21838.000,,2979926.000,,2292.000,1652101.000,266372.000,3741518.000,,75381.000,,,16263759.754,693415.237,2702111.140,16734.959,846216.101,10593.000,10110.770,1815209.166,,237538.350,,,28921.415,52710.155,16263759.754
2019Aug,438677.000,585543.785,,21661.000,,2985774.000,,2287.000,1639806.000,265571.000,3703649.000,,75887.000,,,16191214.184,689437.813,2721568.940,16579.623,839899.940,10535.000,10456.822,1779161.024,,235683.390,,,28916.383,52585.214,16191214.184
2019Jul,437460.000,588330.631,,21557.000,,2968259.000,,2302.000,1635998.000,265582.000,3695944.000,,75989.000,,,16182094.249,696897.859,2736148.750,16531.083,832270.822,10497.000,10058.841,1782986.742,,236385.060,,,28900.911,52461.300,16182094.249
2019Jun,434834.000,585299.340,,21835.000,,2978813.000,,2305.000,1636933.000,270576.000,3670359.000,,76736.000,,,16113427.117,680270.713,2713446.750,16328.339,815409.856,10261.000,9696.036,1788482.928,,233584.040,,,28530.010,52192.855,16113427.117
2019May,440228.000,581570.585,,22076.000,,2975971.000,,1971.000,1622395.000,270858.000,3652428.000,,76724.000,,,16051923.403,680155.611,2684914.670,15076.906,809204.158,10251.000,10008.819,1789363.355,,241502.870,,,28580.769,51109.409,16051923.403
2019Apr,437473.000,582525.044,,20959.000,,2947483.000,,1934.000,1619444.000,273392.000,3627255.000,,76711.000,,,15990209.839,678397.378,2695869.280,14902.350,811494.595,9956.000,9548.277,1776150.062,,241106.430,,,28527.452,52047.721,15990209.839
