Company,Time,Financial Distress,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,0.010636,1.281,0.022934,0.87454,1.2164,0.06094,0.18827,0.5251,0.018854,0.18279,0.0064489,0.85822,2.0058,0.12546,6.9706,4.6512,0.0501,2.1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,-0.45597,1.27,0.0064542,0.82067,1.0049,-0.01408,0.18104,0.62288,0.006423,0.035991,0.0017951,0.85152,-0.48644,0.17933,4.5764,3.7521,-0.014011,2.4575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,-0.32539,1.0529,-0.059379,0.92242,0.72926,0.020476,0.044865,0.43292,-0.081423,-0.7654,-0.054324,0.89314,0.4122,0.077578,11.89,2.4884,0.028077,1.3957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,-0.56657,1.1131,-0.015229,0.85888,0.80974,0.076037,0.091033,0.67546,-0.018807,-0.10791,-0.065316,0.89581,0.9949,0.14112,6.0862,1.6382,0.093904,2.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,1.3573,1.0623,0.10702,0.8146,0.83593,0.19996,0.0478,0.742,0.12803,0.57725,0.094075,0.81549,3.0147,0.1854,4.3938,1.6169,0.23921,3.0311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0.0071875,1.0558,0.081916,0.87949,0.68673,0.14263,0.043102,0.77198,0.11928,0.67973,0.063605,0.81574,2.3646,0.12051,7.2978,1.2609,0.20769,2.9089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,1.2002,0.97059,0.076064,0.90677,0.8098,0.16592,-0.024649,0.7366,0.093929,0.81591,0.00058253,0.8134,2.7302,0.093225,9.7267,1.5041,0.20489,3.4966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,2.2348,1.059,0.1302,0.81811,0.87599,0.23445,0.045576,0.78727,0.14864,0.71584,0.092603,0.8181,3.1209,0.18189,4.4979,1.5652,0.26764,3.3634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,1.3405,1.1245,0.14784,0.75871,1.0799,0.27644,0.089408,0.80356,0.1369,0.61271,0.15897,0.8074,4.3773,0.24129,3.1444,2.043,0.25598,3.6609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,2.0474,1.5998,0.26246,0.54615,1.3127,0.36948,0.29664,0.85364,0.19993,0.5783,0.24735,0.79121,11.065,0.45385,1.2034,3.8466,0.28146,2.9343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,2.3459,1.5756,0.2621,0.56448,1.1565,0.34862,0.29984,0.85817,0.22663,0.6018,0.2816,0.82076,22.353,0.43552,1.2961,2.7964,0.30145,2.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,2.2499,1.5443,0.24091,0.59073,1.077,0.32561,0.30117,1.121,0.22369,0.58863,0.2776,0.85453,19.79,0.40927,1.4434,1.8215,0.30234,3.4133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,2.2826,1.7217,0.21525,0.55229,0.84101,0.2935,0.33336,1.2869,0.25594,0.48077,0.29988,0.79527,14.713,0.44771,1.2336,6.1565,0.34898,2.9763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,1.7982,1.7232,0.20863,0.53398,0.78651,0.29303,0.3298,1.3548,0.26526,0.44769,0.31379,0.78584,12.36,0.46602,1.1458,1.2984,0.37257,2.7874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,2.8277,1.6307,0.18623,0.54772,0.72819,0.27358,0.32085,1.1011,0.25575,0.41177,0.28018,0.82958,8.3125,0.45228,1.211,3.7455,0.37569,2.2426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
